PR ID,PR Author,Title,State,Created At,Merged At,Closed At,Labels,Base Branch,Head Branch,Files Changed,Lines Added,Lines Deleted,Commits,Comments,Review Comments,Reviewers,Review States,Draft Status,Linked Issues,Repository ID,"Repository Size (Stars, Forks, Contributors, Commits)","Repository Activity (Commits, PRs, Issues)","Project Phase (Before Major Release, After Major Release, Active Phase)"
2338299702,vladboisa,docs: add serve section to Service-worker guide,open,2025-02-16T16:23:55Z,,,"area: docs, adev: preview",main,fix_service-worker,,,,,,,MarkTechson,,False,,24195339,"96964, 25867, None, None"
2338298498,Simon-Hayden-Dev,feat(core): add new utility function `bindToInjectionContext`,open,2025-02-16T16:20:56Z,,,"action: discuss, area: core, detected: feature",main,bind-to-injection-context,,,,,,,AndrewKushnir,,False,,24195339,"96964, 25867, None, None"
2338189047,aldillek,fix(compiler-cli): enhance signal checks to handle negat…,open,2025-02-16T11:58:29Z,,,area: compiler,main,fix-check-not-invoked-signal,,,,,,,JoostK,,False,,24195339,"96964, 25867, None, None"
2338148988,krishpranav,Allow EnvironmentProviders in HttpFeature for Custom HTTP Client Features,open,2025-02-16T10:09:22Z,,,,main,main,,,,,,,thePunderWoman,,False,,24195339,"96964, 25867, None, None"
2337761800,Den-dp,refactor(devtools): eliminate unnecessary scrollbars on injector tree,open,2025-02-15T14:50:17Z,,,area: devtools,main,refactor/eliminate-unnecessary-scrollbars,,,,,,,MarkTechson,,False,,24195339,"96964, 25867, None, None"
2337638674,hawkgs,docs(docs-infra): fix card highlighting in the API reference details page,open,2025-02-15T09:27:58Z,,,"action: merge, target: patch, area: docs-infra, area: docs, adev: preview",main,docs/fix-card-highlighting,,,,,,,,,False,,24195339,"96964, 25867, None, None"
2337060085,atscott,refactor(zone.js): fix incompatiblity with JSCompiler checks,open,2025-02-14T21:15:00Z,,,"area: zones, target: patch",main,globalthis,,,,,,,JiaLiPassion,,False,,24195339,"96964, 25867, None, None"
2336833923,thePunderWoman,[PATCH] build: update babel dependencies to v7.26.9,closed,2025-02-14T18:26:41Z,,2025-02-14T19:14:24Z,"action: merge, area: build & ci, target: patch",19.1.x,pr-19-1-x-59743,,,,,,,"crisbeto, josephperrott",,False,,24195339,"96964, 25867, None, None"
2336809462,atscott,refactor(benchpress): move initializer to constructor,closed,2025-02-14T18:10:44Z,,2025-02-14T18:40:00Z,"action: merge, area: benchpress, target: patch",main,consolereporter,,,,,,,,,False,,24195339,"96964, 25867, None, None"
2336801638,thePunderWoman,build: update dependency undici to v7,closed,2025-02-14T18:06:35Z,,2025-02-14T18:08:50Z,area: build & ci,main,pr-takeover-58939,,,,,,,josephperrott,,False,,24195339,"96964, 25867, None, None"
2336743416,thePunderWoman,[PATCH] build: update dependency jsdom to v26,closed,2025-02-14T17:28:48Z,,2025-02-14T18:01:31Z,"action: merge, area: build & ci, target: patch",19.1.x,pr-19-1-x-59444,,,,,,,,,False,,24195339,"96964, 25867, None, None"
